#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2024-01-01 00:00:00+00:00 2024-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BKL,2024-01-01 23:53,36.00,25.00,63.98,310.00,8.00,0.00,30.22,1023.80,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,29.04,KBKL 012353Z 31008KT 10SM OVC027 02/M04 A3022 RMK AO2 SLP238 60000 T00221039 10028 20017 52008,M
BKL,2024-01-02 00:53,36.00,26.00,66.69,280.00,10.00,0.00,30.23,1024.20,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,27.98,KBKL 020053Z 28010KT 10SM OVC026 02/M03 A3023 RMK AO2 SLP242 T00221033,M
BKL,2024-01-02 01:53,35.00,24.00,63.85,300.00,10.00,0.00,30.23,1024.10,10.00,M,BKN,OVC,M,M,2700.00,3300.00,M,M,M,M,M,M,M,M,M,26.73,KBKL 020153Z 30010KT 10SM BKN027 OVC033 02/M04 A3023 RMK AO2 SLP241 T00171044,M
BKL,2024-01-02 02:53,35.00,24.00,63.85,290.00,9.00,0.00,30.23,1024.10,10.00,M,BKN,OVC,M,M,2700.00,3300.00,M,M,M,M,M,M,M,M,M,27.24,KBKL 020253Z 29009KT 10SM BKN027 OVC033 02/M04 A3023 RMK AO2 SLP241 T00171044 50003,M
BKL,2024-01-02 03:53,35.00,24.00,63.85,280.00,7.00,0.00,30.23,1024.00,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,28.44,KBKL 020353Z 28007KT 10SM OVC025 02/M04 A3023 RMK AO2 SLP240 T00171044,M
BKL,2024-01-02 04:53,35.00,26.00,69.39,250.00,9.00,0.00,30.21,1023.60,10.00,19.00,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,27.24,KBKL 020453Z 25009G19KT 10SM OVC025 02/M03 A3021 RMK AO2 SLP236 T00171033 400500017,M
BKL,2024-01-02 05:53,35.00,26.00,69.39,210.00,9.00,0.00,30.20,1023.20,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,27.24,KBKL 020553Z 21009KT 10SM OVC024 02/M03 A3020 RMK AO2 SLP232 T00171033 10022 20017 58009,M
BKL,2024-01-02 06:53,35.00,26.00,69.39,240.00,11.00,0.00,30.20,1023.20,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,26.26,KBKL 020653Z 24011KT 10SM OVC025 02/M03 A3020 RMK AO2 SLP232 T00171033,M
BKL,2024-01-02 07:53,35.00,25.00,66.57,240.00,13.00,0.00,30.21,1023.60,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,25.41,KBKL 020753Z 24013KT 10SM OVC025 02/M04 A3021 RMK AO2 SLP236 T00171039,M
BKL,2024-01-02 08:53,34.00,24.00,66.45,210.00,10.00,0.00,30.20,1023.30,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,25.48,KBKL 020853Z 21010KT 10SM OVC025 01/M04 A3020 RMK AO2 SLP233 T00111044 50000,M
BKL,2024-01-02 09:53,35.00,25.00,66.57,230.00,15.00,0.00,30.20,1023.10,10.00,22.00,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,24.67,KBKL 020953Z 23015G22KT 10SM OVC025 02/M04 A3020 RMK AO2 SLP231 T00171039,M
BKL,2024-01-02 10:53,35.00,25.00,66.57,250.00,17.00,0.00,30.20,1023.10,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,24.01,KBKL 021053Z 25017KT 10SM OVC023 02/M04 A3020 RMK AO2 SLP231 T00171039,M
BKL,2024-01-02 11:53,34.00,24.00,66.45,230.00,15.00,0.00,30.21,1023.70,10.00,20.00,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,23.37,KBKL 021153Z 23015G20KT 10SM OVC024 01/M04 A3021 RMK AO2 SLP237 T00111044 10017 20011 53003,M
BKL,2024-01-02 12:53,34.00,24.00,66.45,240.00,11.00,0.00,30.21,1023.70,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,24.99,KBKL 021253Z 24011KT 10SM OVC024 01/M04 A3021 RMK AO2 SLP237 T00111044,M
BKL,2024-01-02 13:53,35.00,25.00,66.57,230.00,10.00,0.00,30.20,1023.30,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,26.73,KBKL 021353Z 23010KT 10SM OVC023 02/M04 A3020 RMK AO2 SLP233 T00171039,M
BKL,2024-01-02 14:53,35.00,25.00,66.57,230.00,13.00,0.00,30.20,1023.30,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,25.41,KBKL 021453Z 23013KT 10SM OVC024 02/M04 A3020 RMK AO2 SLP233 T00171039 58004,M
BKL,2024-01-02 15:53,35.00,26.00,69.39,230.00,15.00,0.00,30.20,1023.10,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,24.67,KBKL 021553Z 23015KT 10SM OVC023 02/M03 A3020 RMK AO2 SLP231 T00171033,M
BKL,2024-01-02 16:53,36.00,25.00,63.98,210.00,12.00,0.00,30.16,1021.90,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,27.09,KBKL 021653Z 21012KT 10SM OVC023 02/M04 A3016 RMK AO2 SLP219 T00221039,M
BKL,2024-01-02 17:53,37.00,25.00,61.50,220.00,12.00,0.00,30.13,1020.80,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,28.37,KBKL 021753Z 22012KT 10SM OVC024 03/M04 A3013 RMK AO2 SLP208 T00281039 10028 20011 58023,M
BKL,2024-01-02 18:53,37.00,26.00,64.11,230.00,16.00,0.00,30.12,1020.30,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,26.94,KBKL 021853Z 23016KT 10SM OVC025 03/M03 A3012 RMK AO2 SLP203 T00281033,M
BKL,2024-01-02 19:53,36.00,26.00,66.69,220.00,14.00,0.00,30.11,1020.00,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,26.32,KBKL 021953Z 22014KT 10SM OVC024 02/M03 A3011 RMK AO2 SLP200 T00221033,M
BKL,2024-01-02 20:53,35.00,25.00,66.57,230.00,19.00,0.00,30.12,1020.40,10.00,26.00,OVC,M,M,M,2400.00,M,M,M,M,M,M,M,26.00,230.00,2024-01-02 20:47,23.40,KBKL 022053Z 23019G26KT 10SM OVC024 02/M04 A3012 RMK AO2 PK WND 23026/2047 SLP204 T00171039 55005,M
BKL,2024-01-02 21:53,35.00,25.00,66.57,230.00,13.00,0.00,30.11,1020.30,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,25.41,KBKL 022153Z 23013KT 10SM OVC022 02/M04 A3011 RMK AO2 SLP203 T00171039,M
BKL,2024-01-02 22:53,35.00,25.00,66.57,220.00,16.00,0.00,30.11,1020.20,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,24.33,KBKL 022253Z 22016KT 10SM OVC023 02/M04 A3011 RMK AO2 SLP202 T00171039,M
BKL,2024-01-02 23:53,35.00,25.00,66.57,210.00,13.00,0.00,30.10,1019.90,10.00,20.00,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,25.41,KBKL 022353Z 21013G20KT 10SM OVC023 02/M04 A3010 RMK AO2 SLP199 T00171039 10033 20011 58005,M
BKL,2024-01-03 00:53,34.00,24.00,66.45,220.00,9.00,0.00,30.10,1019.80,10.00,18.00,FEW,M,M,M,2200.00,M,M,M,M,M,M,M,27.00,220.00,2024-01-03 00:21,26.00,KBKL 030053Z 22009G18KT 10SM FEW022 01/M04 A3010 RMK AO2 PK WND 22027/0021 SLP198 T00111044,M
BKL,2024-01-03 01:53,33.00,24.00,69.16,220.00,11.00,0.00,30.10,1019.70,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,23.73,KBKL 030153Z 22011G18KT 10SM CLR 01/M04 A3010 RMK AO2 SLP197 T00061044,M
BKL,2024-01-03 02:53,34.00,25.00,69.28,230.00,11.00,0.00,30.10,1019.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.99,KBKL 030253Z 23011KT 10SM CLR 01/M04 A3010 RMK AO2 SLP197 T00111039 55001,M
BKL,2024-01-03 03:53,34.00,25.00,69.28,220.00,9.00,0.00,30.10,1020.00,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,26.00,KBKL 030353Z 22009KT 10SM OVC030 01/M04 A3010 RMK AO2 SLP200 T00111039,M
BKL,2024-01-03 04:53,34.00,25.00,69.28,220.00,13.00,0.00,30.09,1019.50,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,24.13,KBKL 030453Z 22013KT 10SM OVC025 01/M04 A3009 RMK AO2 SLP195 T00111039 400330006,M
BKL,2024-01-03 05:53,34.00,25.00,69.28,210.00,11.00,0.00,30.07,1018.70,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,24.99,KBKL 030553Z 21011KT 10SM OVC025 01/M04 A3007 RMK AO2 SLP187 T00111039 10017 20006 58009,M
BKL,2024-01-03 06:53,34.00,25.00,69.28,210.00,11.00,0.00,30.05,1018.10,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,24.99,KBKL 030653Z 21011KT 10SM OVC025 01/M04 A3005 RMK AO2 SLP181 T00111039,M
BKL,2024-01-03 07:53,35.00,26.00,69.39,230.00,10.00,0.00,30.05,1018.10,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,26.73,KBKL 030753Z 23010KT 10SM OVC023 02/M03 A3005 RMK AO2 SLP181 T00171033,M
BKL,2024-01-03 08:53,35.00,26.00,69.39,220.00,10.00,0.00,30.05,1018.00,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,26.73,KBKL 030853Z 22010KT 10SM OVC019 02/M03 A3005 RMK AO2 SLP180 T00171033 56008,M
BKL,2024-01-03 09:53,35.00,27.00,72.32,220.00,10.00,0.00,30.04,1017.90,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,26.73,KBKL 030953Z 22010KT 10SM OVC018 02/M03 A3004 RMK AO2 SLP179 T00171028,M
BKL,2024-01-03 10:53,35.00,27.00,72.32,220.00,10.00,0.00,30.04,1017.90,10.00,M,BKN,OVC,M,M,1700.00,2400.00,M,M,M,M,M,M,M,M,M,26.73,KBKL 031053Z 22010KT 10SM BKN017 OVC024 02/M03 A3004 RMK AO2 SLP179 T00171028,M
BKL,2024-01-03 11:53,34.00,28.00,78.43,210.00,7.00,0.00,30.04,1017.80,7.00,M,OVC,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,27.22,KBKL 031153Z 21007KT 7SM OVC015 01/M02 A3004 RMK AO2 SLP178 T00111022 10017 20011 56002,M
BKL,2024-01-03 12:53,35.00,28.00,75.36,190.00,7.00,0.00,30.03,1017.50,9.00,M,FEW,OVC,M,M,1500.00,2400.00,M,M,M,M,M,M,M,M,M,28.44,KBKL 031253Z 19007KT 9SM FEW015 OVC024 02/M02 A3003 RMK AO2 SLP175 T00171022,M
BKL,2024-01-03 13:53,35.00,28.00,75.36,200.00,10.00,0.00,30.03,1017.40,8.00,M,FEW,OVC,M,M,1400.00,2300.00,M,M,M,M,M,M,M,M,M,26.73,KBKL 031353Z 20010KT 8SM FEW014 OVC023 02/M02 A3003 RMK AO2 SLP174 T00171022,M
BKL,2024-01-03 14:53,35.00,28.00,75.36,210.00,9.00,0.00,30.03,1017.60,M,M,OVC,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,27.24,KBKL 031453Z 21009KT OVC022 02/M02 A3003 RMK AO2 SLP176 T00171022 55003 $,M
BKL,2024-01-03 15:53,36.00,28.00,72.43,210.00,10.00,0.00,30.04,1017.90,6.00,M,OVC,M,M,M,1800.00,M,M,M,HZ,M,M,M,M,M,M,27.98,KBKL 031553Z 21010KT 6SM HZ OVC018 02/M02 A3004 RMK AO2 SLP179 T00221022 PNO $,M
BKL,2024-01-03 16:53,36.00,28.00,72.43,210.00,12.00,0.00,30.01,1016.80,8.00,M,OVC,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,27.09,KBKL 031653Z 21012KT 8SM OVC016 02/M02 A3001 RMK AO2 SLP168 T00221022,M
BKL,2024-01-03 17:53,37.00,28.00,69.63,240.00,10.00,0.00,29.98,1015.80,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,29.24,KBKL 031753Z 24010KT 10SM OVC017 03/M02 A2998 RMK AO2 SLP158 6//// T00281022 10028 20011 58017,M
BKL,2024-01-03 18:53,37.00,29.00,72.54,230.00,11.00,0.00,29.96,1014.90,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,28.79,KBKL 031853Z 23011KT 10SM OVC017 03/M02 A2996 RMK AO2 SLP149 T00281017,M
BKL,2024-01-03 19:53,37.00,29.00,72.54,250.00,13.00,0.00,29.95,1014.70,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,27.97,KBKL 031953Z 25013KT 10SM OVC018 03/M02 A2995 RMK AO2 SLP147 T00281017,M
BKL,2024-01-03 20:53,37.00,28.00,69.63,230.00,10.00,0.00,29.97,1015.30,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,29.24,KBKL 032053Z 23010KT 10SM OVC019 03/M02 A2997 RMK AO2 SLP153 T00281022 55004,M
BKL,2024-01-03 21:53,36.00,29.00,75.46,220.00,11.00,0.00,29.99,1015.90,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,27.52,KBKL 032153Z 22011KT 10SM OVC028 02/M02 A2999 RMK AO2 SLP159 T00221017,M
BKL,2024-01-03 22:53,36.00,29.00,75.46,210.00,9.00,T,29.98,1015.70,6.00,M,OVC,M,M,M,3900.00,M,M,M,HZ,M,M,M,M,M,M,28.49,KBKL 032253Z 21009KT 6SM HZ OVC039 02/M02 A2998 RMK AO2 RAB28E50 SLP157 P0000 T00221017,M
BKL,2024-01-03 23:53,36.00,30.00,78.60,240.00,12.00,0.00,29.98,1015.90,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,27.09,KBKL 032353Z 24012KT 10SM OVC013 02/M01 A2998 RMK AO2 SLP159 60000 T00221011 10028 20022 51005,M
BKL,2024-01-04 00:53,37.00,31.00,78.69,260.00,15.00,0.00,29.99,1015.90,9.00,M,SCT,BKN,OVC,M,1200.00,2100.00,3500.00,M,M,M,M,M,M,M,M,27.26,KBKL 040053Z 26015KT 9SM SCT012 BKN021 OVC035 03/M01 A2999 RMK AO2 SLP159 T00281006,M
BKL,2024-01-04 01:53,37.00,30.00,75.56,230.00,10.00,0.00,29.98,1015.80,10.00,M,BKN,OVC,M,M,1300.00,4000.00,M,M,M,M,M,M,M,M,M,29.24,KBKL 040153Z 23010KT 10SM BKN013 OVC040 03/M01 A2998 RMK AO2 SLP158 T00281011,M
BKL,2024-01-04 02:53,37.00,30.00,75.56,270.00,16.00,0.00,29.99,1016.20,9.00,M,FEW,BKN,OVC,M,500.00,1300.00,1900.00,M,M,M,M,M,M,M,M,26.94,KBKL 040253Z 27016KT 9SM FEW005 BKN013 OVC019 03/M01 A2999 RMK AO2 SLP162 T00281011 53002,M
BKL,2024-01-04 03:53,36.00,30.00,78.60,280.00,9.00,0.01,30.00,1016.40,4.00,M,SCT,BKN,OVC,M,600.00,1200.00,3200.00,M,-SN,M,M,M,M,M,M,28.49,KBKL 040353Z 28009KT 4SM -SN SCT006 BKN012 OVC032 02/M01 A3000 RMK AO2 WSHFT 0249 SNB0255 SLP164 P0001 T00221011,M
BKL,2024-01-04 04:53,36.00,30.00,78.60,260.00,12.00,T,30.01,1016.70,5.00,M,FEW,BKN,OVC,M,1000.00,2400.00,3700.00,M,-SN,M,M,M,M,M,M,27.09,KBKL 040453Z 26012KT 5SM -SN FEW010 BKN024 OVC037 02/M01 A3001 RMK AO2 SNE0359B26 SLP167 P0000 T00221011 400280011,M
BKL,2024-01-04 05:53,37.00,31.00,78.69,300.00,12.00,0.01,30.01,1016.70,8.00,M,FEW,BKN,OVC,M,1000.00,2700.00,4400.00,M,-SN,M,M,M,M,M,M,28.37,KBKL 040553Z 30012KT 8SM -SN FEW010 BKN027 OVC044 03/M01 A3001 RMK AO2 UPB21E23SNE21B28 SLP167 P0001 60002 T00281006 10033 20017 51005,M
BKL,2024-01-04 06:53,37.00,31.00,78.69,330.00,20.00,T,30.01,1016.80,10.00,28.00,FEW,BKN,OVC,M,1500.00,2900.00,3800.00,M,M,M,M,M,28.00,330.00,2024-01-04 06:53,25.78,KBKL 040653Z 33020G28KT 10SM FEW015 BKN029 OVC038 03/M01 A3001 RMK AO2 PK WND 33028/0653 SNE0554B08E25 SLP168 P0000 T00281006,M
BKL,2024-01-04 07:53,35.00,29.00,78.51,330.00,22.00,0.01,30.05,1018.00,8.00,30.00,BKN,OVC,M,M,1700.00,2400.00,M,M,-SN,M,M,M,30.00,330.00,2024-01-04 07:52,22.60,KBKL 040753Z 33022G30KT 8SM -SN BKN017 OVC024 02/M02 A3005 RMK AO2 PK WND 33030/0752 SNB0656E23B50 SLP180 P0001 T00171017,M
BKL,2024-01-04 08:53,34.00,28.00,78.43,340.00,15.00,T,30.07,1018.80,5.00,25.00,FEW,BKN,OVC,M,1600.00,2500.00,3100.00,M,-SN,M,M,M,30.00,340.00,2024-01-04 07:54,23.37,KBKL 040853Z 34015G25KT 5SM -SN FEW016 BKN025 OVC031 01/M02 A3007 RMK AO2 PK WND 34030/0754 SLP188 P0000 60001 T00111022 53021,M
BKL,2024-01-04 09:53,34.00,25.00,69.28,330.00,18.00,T,30.09,1019.50,10.00,26.00,FEW,BKN,OVC,M,1600.00,2300.00,3000.00,M,M,M,M,M,26.00,340.00,2024-01-04 09:50,22.38,KBKL 040953Z 33018G26KT 10SM FEW016 BKN023 OVC030 01/M04 A3009 RMK AO2 PK WND 34026/0950 SNE45 SLP195 P0000 T00111039,M
BKL,2024-01-04 10:53,33.00,22.00,63.59,330.00,19.00,0.00,30.13,1020.80,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,M,M,M,26.00,330.00,2024-01-04 10:20,20.76,KBKL 041053Z 33019KT 10SM OVC030 01/M06 A3013 RMK AO2 PK WND 33026/1020 SLP208 T00061056,M
BKL,2024-01-04 11:53,33.00,24.00,69.16,340.00,17.00,0.00,30.16,1021.90,10.00,24.00,SCT,OVC,M,M,2500.00,3200.00,M,M,M,M,M,M,M,M,M,21.39,KBKL 041153Z 34017G24KT 10SM SCT025 OVC032 01/M04 A3016 RMK AO2 SLP219 60001 7//// T00061044 10033 20006 51024,M
BKL,2024-01-04 12:53,33.00,23.00,66.32,330.00,19.00,0.00,30.19,1022.80,10.00,M,FEW,FEW,OVC,M,2000.00,2500.00,3400.00,M,M,M,M,M,26.00,330.00,2024-01-04 12:27,20.76,KBKL 041253Z 33019KT 10SM FEW020 FEW025 OVC034 01/M05 A3019 RMK AO2 PK WND 33026/1227 SLP228 T00061050,M
